iter	RMSE
185	359.9361025
186	359.177667
187	358.4279356
188	357.3430296
189	356.640619
190	356.047981
191	355.8987606
192	355.2076369
193	354.4311457
194	353.8247777
195	352.7266625
196	351.9347278
197	351.5914907
198	351.1260418
199	350.8216525
200	350.2720269
201	349.6076836
202	349.1293789
203	348.2481158
204	348.1391984
205	347.1240498
206	346.615437
207	346.1557731
208	345.6394366
209	344.2043902
210	343.8849712
211	343.4988682
212	343.1961626
213	342.101815
214	341.847205
215	341.2639183
216	340.1112573
217	339.94308
218	338.8553126
219	338.253308
220	337.8153511
221	337.2923056
222	336.3616345
223	335.1852153
224	334.5482123
225	334.0934284
226	333.1312545
227	332.820808
228	332.1990007
229	331.7121047
230	330.8982473
231	330.5200937
232	330.268516
233	329.7367017
234	329.1519341
235	328.4954105
236	327.6677984
237	326.7830969
238	326.4521067
239	325.8042578
240	324.4142543
241	323.9879716
242	323.5292151
243	323.0652795
244	322.5348067
245	322.1019568
246	321.6187351
247	321.1650449
248	320.6631509
249	319.7430443
250	319.4236789
251	318.6318254
252	318.4622491
253	318.0315759
254	317.5125188
255	317.0339008
256	316.7116092
257	316.430917
258	315.9421161
259	315.3237795
260	315.1708801
261	314.8854347
262	314.5989258
263	314.1271929
264	313.7341813
265	313.2672292
266	312.4768318
267	312.1587896
268	311.4659583
269	310.6570266
270	310.3121646
271	309.7374459
272	309.3483856
273	308.7315843
274	308.2056215
275	308.0464904
276	307.5931147
277	307.3136585
278	306.6744216
279	305.7997088
280	305.2253654
281	305.1238826
282	304.4731276
283	304.2268414
284	303.9763654
285	303.3976409
286	303.1148259
287	302.5713913
288	302.2433841
289	301.5531884
290	300.7734035
291	300.3155531
292	300.2147019
293	299.8884344
294	299.4697005
295	299.1344843
296	298.7486409
297	298.3578912
298	298.0886069
299	297.5261331
300	297.2394486
301	296.5406726
302	296.039399
303	295.1608234
304	294.7341811
305	293.890996
306	293.0691626
307	292.7617289
308	292.4050394
309	291.7905449
310	291.3173448
311	290.7353125
312	289.9966507
313	289.5588415
314	289.1926532
315	289.0075418
316	288.305259
317	287.655715
318	287.416483
319	287.3040883
320	286.5575469
321	286.3466506
322	285.8535535
323	285.6022073
324	285.412241
325	285.2228139
326	284.515726
327	283.8117584
328	283.7314186
329	283.3992631
330	283.0033293
331	282.6392045
332	282.3012909
333	282.0089272
334	281.5672827
335	281.0315716
336	280.6545896
337	280.2295773
338	279.849105
339	279.1454032
340	278.5980555
341	278.3932836
342	278.0320895
343	277.7775851
344	277.2842538
345	277.1743155
346	276.7172847
347	276.1906568
348	275.9155354
349	275.622514
350	275.1433002
351	274.8516243
352	274.5646319
353	274.2234654
354	273.6974228
355	272.9465677
356	272.6041631
357	272.3993232
358	272.0502357
359	271.6367014
360	271.1718101
361	270.8975516
362	270.3074318
363	269.7895986
364	269.4033189
365	268.4339238
366	267.6590276
367	267.3246019
368	266.8238818
369	266.1869071
370	266.1445753
371	265.6088393
372	265.2788345
373	264.9474574
374	264.6081235
375	264.0808797
376	264.0219349
377	263.8799331
378	263.5996153
379	263.2229162
380	263.0802533
381	262.8195181
382	262.5668527
383	262.2809813
384	261.9536019
385	261.4218976
386	261.3488331
387	261.0178768
388	260.3677399
389	259.9064555
390	259.5708485
391	259.2627119
392	258.781151
393	258.0551854
394	257.8084437
395	256.9600681
396	256.8764188
397	256.2922433
398	256.0769487
399	255.6956449
400	255.1044248
401	254.7656302
402	254.4236386
403	253.9265035
404	253.2190729
405	253.1603316
406	252.5513591
407	251.7828006
408	251.5304132
409	251.4954222
410	251.0492849
411	250.8204657
412	250.7613282
413	250.5009846
414	250.4461348
415	250.2857873
416	250.2367106
417	249.9817768
418	249.6269143
419	249.2455344
420	249.0096048
421	248.875449
422	248.4090612
423	247.8067175
424	247.5270257
425	247.1246581
426	247.0782895
427	246.7263585
428	246.3616782
429	246.2361605
430	245.8063891
431	245.5102046
432	244.7509265
433	244.4126439
434	244.2691589
435	244.2307976
436	243.9209274
437	243.4759879
438	243.4183603
439	243.0987145
440	242.84277
441	242.3571399
442	242.1816515
443	241.6243043
444	241.1871647
445	240.5312724
446	240.0232515
447	239.5043864
448	239.0690574
449	238.5529484
450	238.4965311
451	238.0847244
452	237.8413491
453	237.6057757
454	236.9939897
455	236.9403163
456	236.7974504
457	236.5084867
458	236.1364564
459	235.4786283
460	235.2320955
461	234.9037316
462	234.2352102
463	233.9321574
464	233.3059763
465	232.9257011
466	232.6495542
467	232.4770418
468	232.2007342
469	231.6020556
470	231.225075
471	231.1584672
472	231.1066309
473	230.9441407
474	230.332073
475	229.9408593
476	229.5685661
477	229.3259026
478	228.7146853
479	228.3342498
480	228.1418246
481	227.663994
482	227.2474533
483	227.225876
484	227.0244543
485	226.5040124
486	226.1817944
487	225.7879988
488	225.3164132
489	224.9443731
490	224.616905
491	224.4333513
492	223.8915602
493	223.65417
494	223.3968311
495	222.8443694
496	222.2581601
497	222.1381336
498	221.5510062
499	221.1909707
500	220.6431924
501	220.2690433
502	220.0457101
503	219.7607296
504	219.0685363
505	218.9149875
506	218.6719621
507	218.4520401
508	218.2388758
509	217.9599091
510	217.6042257
511	217.0198964
512	216.5504891
513	216.0558453
514	215.4497886
515	215.0320607
516	214.8341616
517	214.3366481
518	214.128089
519	214.0974019
520	213.9927874
521	213.7366694
522	213.2824593
523	213.2412095
524	212.9026506
525	212.5491009
526	211.9974566
527	211.5059345
528	211.2075045
529	210.7054761
530	210.3837695
531	210.0433239
532	209.8629054
533	209.458292
534	209.3486885
535	209.3141562
536	209.1132694
537	208.8917291
538	208.6693492
539	208.2202324
540	207.9598779
541	207.5636729
542	207.1376509
543	206.7686071
544	206.538027
545	206.1790727
546	206.0067101
547	205.6828806
548	205.3718121
549	204.9945998
550	204.5667142
551	204.2946525
552	204.1430673
553	204.0360433
554	203.7489364
555	203.5895165
556	203.3561809
557	203.201699
558	202.7844223
559	202.5411224
560	202.3795378
561	202.2985418
562	201.998851
563	201.7180497
564	201.6169061
565	201.3616119
566	201.2996321
567	201.0013924
568	200.6351025
569	200.4804749
570	200.3359974
571	200.053144
572	199.8256972
573	199.4782466
574	199.1160891
575	198.8331346
576	198.4346486
577	198.0831267
578	197.9644931
579	197.6645233
580	197.3916957
581	197.0116758
582	196.8450321
583	196.7279336
584	196.5298045
585	196.0804318
586	195.7023267
587	195.4368736
588	195.2031619
589	194.8293475
590	194.3529558
591	194.1365387
592	193.8648057
593	193.6672819
594	193.3854334
595	193.131462
596	193.0849299
597	192.7269068
598	192.4017024
599	192.1625899
600	191.7627494
601	191.6367104
602	191.2177141
603	190.9827286
604	190.6454569
605	190.0880184
606	189.9690191
607	189.7405865
608	189.6962978
609	189.2707673
610	189.2323548
611	189.0181688
612	188.6863191
613	188.2294868
614	187.7299187
615	187.5799278
616	187.3211292
617	187.3061837
618	186.7699465
619	186.5785465
620	186.2416813
621	185.8739668
622	185.7414516
623	185.4781142
624	185.218584
625	185.1590663
626	185.0828898
627	185.0656269
628	184.8739538
629	184.4854941
630	184.1891635
631	183.8953032
632	183.7241038
633	183.2588278
634	182.8653844
635	182.6222557
636	182.1074045
637	181.8045711
638	181.4249719
639	181.2009
640	181.1231151
641	180.7671117
642	180.3752525
643	180.3283746
644	180.2799306
645	179.9196859
646	179.5884885
647	179.3582049
648	179.2263927
649	178.9323716
650	178.5620024
651	178.3719187
652	177.9986446
653	177.7415164
654	177.4055961
655	177.0188988
656	176.9424846
657	176.7015908
658	176.3779138
659	176.0168764
660	175.6885238
661	175.6662108
662	175.2957719
663	175.0478973
664	175.025131
665	174.9894907
666	174.938897
667	174.6828881
668	174.580124
669	174.5494006
670	174.447005
671	174.2334983
672	174.0269009
673	173.8467028
674	173.4126564
675	173.1777055
676	172.8796133
677	172.7329316
678	172.4880107
679	172.2906079
680	172.1398423
681	172.0219569
682	171.8185311
683	171.4383827
684	171.424709
685	171.2100092
686	170.9824632
687	170.8077662
688	170.7895627
689	170.6372017
690	170.5255901
691	170.1876031
692	169.8832632
693	169.5077719
694	169.2277598
695	168.6879351
696	168.5920081
697	168.5026867
698	168.39199
699	168.1846501
700	167.7163553
701	167.63406
702	167.5604649
703	167.3787673
704	167.1125025
705	166.8750312
706	166.443789
707	166.129849
708	165.9382452
709	165.7684879
710	165.5645199
711	165.1263724
712	164.8914482
713	164.5861881
714	164.5392297
715	164.3551431
716	164.237599
717	163.9498156
718	163.6880784
719	163.5501424
720	163.1641307
721	162.9811173
722	162.6612626
723	162.6342375
724	162.5069273
725	162.1574101
726	161.9425414
727	161.5678059
728	161.3080484
729	161.2505479
730	161.1783619
731	160.9434159
732	160.7662523
733	160.673547
734	160.5318001
735	160.2252101
736	159.9877018
737	159.8437578
738	159.7892215
739	159.4919336
740	159.4270207
741	159.2454662
742	159.1983855
743	158.9188831
744	158.8880917
745	158.8816633
746	158.6907884
747	158.5041198
748	158.2493657
749	157.9782179
750	157.9098361
751	157.6643814
752	157.2476974
753	157.0872273
754	157.028081
755	156.8208362
756	156.5710651
757	156.2809022
758	156.0912988
759	155.8162147
760	155.8035339
761	155.534607
762	155.3371789
763	155.3183141
764	154.9412287
765	154.7773896
766	154.7336756
767	154.3605979
768	154.228199
769	154.1009423
770	153.9198806
771	153.7048508
772	153.4069672
773	153.2354632
774	153.0887058
775	152.895403
776	152.7177972
777	152.5696454
778	152.271153
779	152.2087606
780	151.9074856
781	151.5541865
782	151.4311297
783	151.2390388
784	151.0956565
785	151.054215
786	150.8954496
787	150.7307944
788	150.5257324
789	150.2969019
790	150.0390345
791	149.8852073
792	149.5882149
793	149.2657712
794	149.0198716
795	148.9926117
796	148.8947204
797	148.4874125
798	148.2190075
799	148.0946688
800	147.7759792
801	147.6662842
802	147.4733927
803	147.3755998
804	147.2052445
805	147.1549612
806	147.0419813
807	146.8193887
808	146.5862728
809	146.2511808
810	146.2264349
811	146.0524588
812	145.8001472
813	145.6863443
814	145.5469034
815	145.3161597
816	145.2373829
817	145.0036829
818	144.7742572
819	144.4596228
820	144.2667924
821	144.1770499
822	144.0099817
823	143.6940105
824	143.4823296
825	143.2971129
826	143.197443
827	142.9819467
828	142.8418193
829	142.7872945
830	142.6660237
831	142.486071
832	142.3259111
833	142.1488439
834	142.1319309
835	141.9896663
836	141.9212544
837	141.9036017
838	141.8220171
839	141.6327659
840	141.6051656
841	141.4690886
842	141.3201063
843	141.0966795
844	140.8339975
845	140.8273146
846	140.663944
847	140.445034
848	140.2896814
849	140.2417005
850	140.0194793
851	139.8981118
852	139.7225233
853	139.6879506
854	139.5258054
855	139.2335651
856	139.0831314
857	138.9925557
858	138.8949989
859	138.5876205
860	138.4131215
861	138.2284333
862	138.1447976
863	137.9652592
864	137.7291899
865	137.5847682
866	137.4427002
867	137.1695541
868	137.1107655
869	136.902823
870	136.7930409
871	136.6760368
872	136.4888926
873	136.4104848
874	136.252534
875	136.0987345
876	136.0397971
877	135.8144238
878	135.5418078
879	135.3839231
880	135.2812174
881	135.0796878
882	135.0152877
883	134.8342084
884	134.6152945
885	134.4829473
886	134.316028
887	134.1738006
888	134.1642706
889	133.9841321
890	133.7966112
891	133.6442167
892	133.533482
893	133.4463983
894	133.1603853
895	132.966747
896	132.7529761
897	132.5658928
898	132.4039138
899	132.3624025
900	132.3410446
901	132.0867885
902	131.8368377
903	131.7633506
904	131.6873023
905	131.55418
906	131.3620623
907	131.2024771
908	131.1748839
909	131.0513463
910	130.9659551
911	130.8036519
912	130.5399898
913	130.3478435
914	130.1348421
915	129.917375
916	129.7277822
917	129.5128507
918	129.4138177
919	129.2963161
920	129.1035245
921	128.9572687
922	128.6937136
923	128.5320505
924	128.3023998
925	128.0898084
926	127.9723865
927	127.8199086
928	127.8006399
929	127.651066
930	127.4890111
931	127.4224704
932	127.2562625
933	127.2391501
934	127.0724446
935	126.9526715
936	126.8089978
937	126.8016746
938	126.618936
939	126.4044431
940	126.132171
941	125.8927127
942	125.853994
943	125.8378023
944	125.7872044
945	125.7123341
946	125.5046055
947	125.369394
948	125.1319098
949	125.0020496
950	124.9917675
951	124.9282796
952	124.7053685
953	124.7000396
954	124.5110255
955	124.4225446
956	124.288618
957	124.1554787
958	123.9625154
959	123.8079502
960	123.6927733
961	123.5162095
962	123.3189307
963	123.0852933
964	122.8701369
965	122.7166615
966	122.6100809
967	122.5076818
968	122.2852169
969	122.1080404
970	121.9359032
971	121.7405088
972	121.5918893
973	121.3728611
974	121.3641944
975	121.1411216
976	121.0486665
977	121.0217722
978	120.8267045
979	120.7200644
980	120.5361926
981	120.4428834
982	120.3142721
983	120.2436534
984	120.1889694
985	120.0517746
986	119.9870008
987	119.9383559
988	119.8225535
989	119.7986711
990	119.5782974
991	119.472099
992	119.2935282
993	119.2755009
994	119.1241903
995	118.9991972
996	118.7674361
997	118.7480267
998	118.6073954
999	118.505631
